judet,an,nivel_educatie,numar_someri
ALBA,2019,fara_studii,632
ARAD,2019,fara_studii,377
ARGES,2019,fara_studii,692
BACAU,2019,fara_studii,1664
BIHOR,2019,fara_studii,520
BISTRITA,2019,fara_studii,183
BOTOSANI,2019,fara_studii,155
BRAILA,2019,fara_studii,721
BRASOV,2019,fara_studii,1079
BUZAU,2019,fara_studii,2229
CALARASI,2019,fara_studii,377
CARAS,2019,fara_studii,549
CLUJ,2019,fara_studii,934
CONSTANTA,2019,fara_studii,1016
COVASNA,2019,fara_studii,438
DAMBOVITA,2019,fara_studii,671
DOLJ,2019,fara_studii,853
GALATI,2019,fara_studii,1428
GIURGIU,2019,fara_studii,235
GORJ,2019,fara_studii,297
HARGHITA,2019,fara_studii,1195
HUNEDOARA,2019,fara_studii,514
IALOMITA,2019,fara_studii,398
IASI,2019,fara_studii,630
ILFOV,2019,fara_studii,109
MARAMURES,2019,fara_studii,150
MEHEDINTI,2019,fara_studii,0
MUN. BUC.,2019,fara_studii,26
MURES,2019,fara_studii,1057
NEAMT,2019,fara_studii,1117
OLT,2019,fara_studii,1794
PRAHOVA,2019,fara_studii,627
SALAJ,2019,fara_studii,605
SATU M.,2019,fara_studii,376
SIBIU,2019,fara_studii,423
SUCEAVA,2019,fara_studii,684
TELEORMAN,2019,fara_studii,424
TIMIS,2019,fara_studii,386
TULCEA,2019,fara_studii,0
VALCEA,2019,fara_studii,251
VASLUI,2019,fara_studii,430
VRANCEA,2019,fara_studii,0
Total general,2019,fara_studii,26246
ALBA ,2020,fara_studii,455
ARAD,2020,fara_studii,323
ARGES,2020,fara_studii,637
BACAU,2020,fara_studii,2112
BIHOR,2020,fara_studii,187
BISTRITA,2020,fara_studii,136
BOTOSANI,2020,fara_studii,193
BRAILA,2020,fara_studii,778
BRASOV,2020,fara_studii,975
BUZAU,2020,fara_studii,2304
CALARASI,2020,fara_studii,343
CARAS,2020,fara_studii,574
CLUJ,2020,fara_studii,552
CONSTANTA,2020,fara_studii,756
COVASNA,2020,fara_studii,521
DAMBOVITA,2020,fara_studii,582
DOLJ,2020,fara_studii,854
GALATI,2020,fara_studii,1105
GIURGIU,2020,fara_studii,245
GORJ,2020,fara_studii,269
HARGHITA,2020,fara_studii,1069
HUNEDOARA,2020,fara_studii,305
IALOMITA,2020,fara_studii,270
IASI,2020,fara_studii,564
ILFOV,2020,fara_studii,91
MARAMURES,2020,fara_studii,58
MEHEDINTI,2020,fara_studii,0
MUN. BUC.,2020,fara_studii,25
MURES,2020,fara_studii,719
NEAMT,2020,fara_studii,865
OLT,2020,fara_studii,1936
PRAHOVA,2020,fara_studii,547
SALAJ,2020,fara_studii,326
SATU M.,2020,fara_studii,658
SIBIU,2020,fara_studii,372
SUCEAVA,2020,fara_studii,437
TELEORMAN,2020,fara_studii,402
TIMIS,2020,fara_studii,198
TULCEA,2020,fara_studii,0
VALCEA,2020,fara_studii,125
VASLUI,2020,fara_studii,240
VRANCEA,2020,fara_studii,303
Total general,2020,fara_studii,23411
ALBA ,2024,fara_studii,375
ARAD,2024,fara_studii,807
ARGES,2024,fara_studii,416
BACAU,2024,fara_studii,503
BIHOR,2024,fara_studii,662
BISTRITA,2024,fara_studii,337
BOTOSANI,2024,fara_studii,136
BRAILA,2024,fara_studii,651
BRASOV,2024,fara_studii,773
BUZAU,2024,fara_studii,721
CALARASI,2024,fara_studii,507
CARAS,2024,fara_studii,306
CLUJ,2024,fara_studii,867
CONSTANTA,2024,fara_studii,711
COVASNA,2024,fara_studii,539
DAMBOVITA,2024,fara_studii,413
DOLJ,2024,fara_studii,1410
GALATI,2024,fara_studii,1159
GIURGIU,2024,fara_studii,193
GORJ,2024,fara_studii,275
HARGHITA,2024,fara_studii,1116
HUNEDOARA,2024,fara_studii,567
IALOMITA,2024,fara_studii,438
IASI,2024,fara_studii,557
ILFOV,2024,fara_studii,90
MARAMURES,2024,fara_studii,303
MEHEDINTI,2024,fara_studii,636
MUN. BUC.,2024,fara_studii,9
MURES,2024,fara_studii,1006
NEAMT,2024,fara_studii,606
OLT,2024,fara_studii,690
PRAHOVA,2024,fara_studii,459
SALAJ,2024,fara_studii,690
SATU M.,2024,fara_studii,1024
SIBIU,2024,fara_studii,552
SUCEAVA,2024,fara_studii,934
TELEORMAN,2024,fara_studii,1120
TIMIS,2024,fara_studii,530
TULCEA,2024,fara_studii,0
VALCEA,2024,fara_studii,14
VASLUI,2024,fara_studii,439
VRANCEA,2024,fara_studii,123
Total general,2024,fara_studii,23664
ALBA,2019,inv_primar,676
ARAD,2019,inv_primar,582
ARGES,2019,inv_primar,1826
BACAU,2019,inv_primar,1196
BIHOR,2019,inv_primar,611
BISTRITA,2019,inv_primar,291
BOTOSANI,2019,inv_primar,1044
BRAILA,2019,inv_primar,1080
BRASOV,2019,inv_primar,1386
BUZAU,2019,inv_primar,2350
CALARASI,2019,inv_primar,883
CARAS,2019,inv_primar,390
CLUJ,2019,inv_primar,569
CONSTANTA,2019,inv_primar,746
COVASNA,2019,inv_primar,949
