judet,an,gen,rata
ALBA,2019,rata_somaj,2.82
ARAD,2019,rata_somaj,2.82
ARGES,2019,rata_somaj,2.82
BACAU,2019,rata_somaj,2.82
BIHOR,2019,rata_somaj,2.82
BISTRITA NASAUD,2019,rata_somaj,2.82
BOTOSANI,2019,rata_somaj,2.82
BRAILA,2019,rata_somaj,2.82
BRASOV,2019,rata_somaj,2.82
BUZAU,2019,rata_somaj,2.82
CALARASI,2019,rata_somaj,2.82
CARA?-SEVERIN,2019,rata_somaj,2.82
CLUJ,2019,rata_somaj,2.82
CONSTANTA,2019,rata_somaj,2.82
COVASNA,2019,rata_somaj,2.82
DAMBOVITA,2019,rata_somaj,2.82
DOLJ,2019,rata_somaj,2.82
GALATI,2019,rata_somaj,2.82
GIURGIU,2019,rata_somaj,2.82
GORJ,2019,rata_somaj,2.82
HARGHITA,2019,rata_somaj,2.82
HUNEDOARA,2019,rata_somaj,2.82
IALOMITA,2019,rata_somaj,2.82
IASI,2019,rata_somaj,2.82
ILFOV,2019,rata_somaj,2.82
MARAMURES,2019,rata_somaj,2.82
MEHEDINTI,2019,rata_somaj,2.82
MUN. BUC.,2019,rata_somaj,2.82
MURES,2019,rata_somaj,2.82
NEAMT,2019,rata_somaj,2.82
OLT,2019,rata_somaj,2.82
PRAHOVA,2019,rata_somaj,2.82
SALAJ,2019,rata_somaj,2.82
SATU MARE,2019,rata_somaj,2.82
SIBIU,2019,rata_somaj,2.82
SUCEAVA,2019,rata_somaj,2.82
TELEORMAN,2019,rata_somaj,2.82
TIMIS,2019,rata_somaj,2.82
TULCEA,2019,rata_somaj,2.82
VALCEA,2019,rata_somaj,2.82
VASLUI,2019,rata_somaj,2.82
VRANCEA,2019,rata_somaj,2.82
Total,2019,rata_somaj,2.82
ALBA ,2020,rata_somaj,3.37
ARAD,2020,rata_somaj,2.13
ARGES,2020,rata_somaj,4.0
BACAU,2020,rata_somaj,5.17
BIHOR,2020,rata_somaj,1.95
BISTRITA NASAUD,2020,rata_somaj,2.97
BOTOSANI,2020,rata_somaj,2.95
BRAILA,2020,rata_somaj,3.78
BRASOV,2020,rata_somaj,2.42
BUZAU,2020,rata_somaj,7.16
CALARASI,2020,rata_somaj,4.12
CARA?-SEVERIN,2020,rata_somaj,3.62
CLUJ,2020,rata_somaj,1.7
CONSTANTA,2020,rata_somaj,2.35
COVASNA,2020,rata_somaj,4.53
DAMBOVITA,2020,rata_somaj,3.21
DOLJ,2020,rata_somaj,7.19
GALATI,2020,rata_somaj,6.17
GIURGIU,2020,rata_somaj,2.74
GORJ,2020,rata_somaj,3.74
HARGHITA,2020,rata_somaj,4.25
HUNEDOARA,2020,rata_somaj,3.74
IALOMITA,2020,rata_somaj,4.65
IASI,2020,rata_somaj,3.05
ILFOV,2020,rata_somaj,0.42
MARAMURES,2020,rata_somaj,2.65
MEHEDINTI,2020,rata_somaj,6.46
MUN. BUC.,2020,rata_somaj,1.29
MURES,2020,rata_somaj,2.58
NEAMT,2020,rata_somaj,4.38
OLT,2020,rata_somaj,5.74
PRAHOVA,2020,rata_somaj,3.03
