judet,an,mediu,numar_someri
ALBA,2019,total_urban,1659
ARAD,2019,total_urban,1322
ARGES,2019,total_urban,1281
BACAU,2019,total_urban,2392
BIHOR,2019,total_urban,1188
BISTRITA-NASAUD,2019,total_urban,1001
BOTOSANI,2019,total_urban,1376
BRAILA,2019,total_urban,1195
BRASOV,2019,total_urban,1829
BUZAU,2019,total_urban,2112
CALARASI,2019,total_urban,762
CARAS-SEVERIN,2019,total_urban,1311
CLUJ,2019,total_urban,2069
CONSTANTA,2019,total_urban,2668
COVASNA,2019,total_urban,871
DAMBOVITA,2019,total_urban,1101
DOLJ,2019,total_urban,2626
GALATI,2019,total_urban,2109
GIURGIU,2019,total_urban,523
GORJ,2019,total_urban,1477
HARGHITA,2019,total_urban,1534
HUNEDOARA,2019,total_urban,3879
IALOMITA,2019,total_urban,1396
IASI,2019,total_urban,1307
ILFOV,2019,total_urban,212
MARAMURES,2019,total_urban,3258
MEHEDINTI,2019,total_urban,1395
MURES,2019,total_urban,1131
NEAMT,2019,total_urban,1350
OLT,2019,total_urban,1796
PRAHOVA,2019,total_urban,2107
SALAJ,2019,total_urban,964
SATU MARE,2019,total_urban,643
SIBIU,2019,total_urban,1077
SUCEAVA,2019,total_urban,3234
TELEORMAN,2019,total_urban,2209
TIMIS,2019,total_urban,1436
TULCEA,2019,total_urban,649
VALCEA,2019,total_urban,1896
VASLUI,2019,total_urban,1188
VRANCEA,2019,total_urban,1090
BUCURESTI,2019,total_urban,15502
Total TARA,2019,total_urban,80125
ALBA,2020,total_urban,2318
ARAD,2020,total_urban,2185
ARGES,2020,total_urban,2656
BACAU,2020,total_urban,2867
BIHOR,2020,total_urban,2083
BISTRITA-NASAUD,2020,total_urban,1431
BOTOSANI,2020,total_urban,1611
BRAILA,2020,total_urban,1359
BRASOV,2020,total_urban,2604
BUZAU,2020,total_urban,2465
CALARASI,2020,total_urban,1135
CARAS-SEVERIN,2020,total_urban,1730
CLUJ,2020,total_urban,3132
CONSTANTA,2020,total_urban,3516
COVASNA,2020,total_urban,1415
DAMBOVITA,2020,total_urban,1153
DOLJ,2020,total_urban,3549
GALATI,2020,total_urban,2696
GIURGIU,2020,total_urban,629
GORJ,2020,total_urban,1740
HARGHITA,2020,total_urban,1912
HUNEDOARA,2020,total_urban,4598
IALOMITA,2020,total_urban,1439
IASI,2020,total_urban,1825
ILFOV,2020,total_urban,252
MARAMURES,2020,total_urban,3292
MEHEDINTI,2020,total_urban,1859
MURES,2020,total_urban,1782
