judet,an,categorie_varsta,numar_someri
ALBA,2019,sub_25,533
ARAD,2019,sub_25,1198
ARGES,2019,sub_25,886
BACAU,2019,sub_25,1226
BIHOR,2019,sub_25,544
BISTRITA NASAUD,2019,sub_25,398
BOTOSANI,2019,sub_25,613
BRAILA,2019,sub_25,452
BRASOV,2019,sub_25,1100
BUZAU,2019,sub_25,1332
CALARASI,2019,sub_25,503
CARAS-SEVERIN,2019,sub_25,434
CLUJ,2019,sub_25,641
CONSTANTA,2019,sub_25,1081
COVASNA,2019,sub_25,686
DAMBOVITA,2019,sub_25,1456
DOLJ,2019,sub_25,1802
GALATI,2019,sub_25,1318
GIURGIU,2019,sub_25,454
GORJ,2019,sub_25,777
HARGHITA,2019,sub_25,1038
HUNEDOARA,2019,sub_25,881
IALOMITA,2019,sub_25,486
IASI,2019,sub_25,926
ILFOV,2019,sub_25,165
MARAMURES,2019,sub_25,1857
MEHEDINTI,2019,sub_25,353
MUNICIPIUL BUCURESTI,2019,sub_25,285
MURES,2019,sub_25,1026
NEAMT,2019,sub_25,1145
OLT,2019,sub_25,977
PRAHOVA,2019,sub_25,777
SALAJ,2019,sub_25,887
SATU-MARE,2019,sub_25,450
SIBIU,2019,sub_25,428
SUCEAVA,2019,sub_25,2876
TELEORMAN,2019,sub_25,1053
TIMIS,2019,sub_25,427
TULCEA,2019,sub_25,698
VALCEA,2019,sub_25,996
VASLUI ,2019,sub_25,615
VRANCEA,2019,sub_25,933
TOTAL,2019,sub_25,36713
ALBA,2020,sub_25,706
ARAD,2020,sub_25,1012
ARGES,2020,sub_25,1063
BACAU,2020,sub_25,1493
BIHOR,2020,sub_25,797
BISTRITA NASAUD,2020,sub_25,541
BOTOSANI,2020,sub_25,664
BRAILA,2020,sub_25,498
BRASOV,2020,sub_25,939
BUZAU,2020,sub_25,1374
CALARASI,2020,sub_25,571
CARAS-SEVERIN,2020,sub_25,611
CLUJ,2020,sub_25,334
CONSTANTA,2020,sub_25,1639
COVASNA,2020,sub_25,798
DAMBOVITA,2020,sub_25,878
DOLJ,2020,sub_25,2084
GALATI,2020,sub_25,1557
GIURGIU,2020,sub_25,528
GORJ,2020,sub_25,792
HARGHITA,2020,sub_25,1168
HUNEDOARA,2020,sub_25,765
IALOMITA,2020,sub_25,579
IASI,2020,sub_25,751
ILFOV,2020,sub_25,279
MARAMURES,2020,sub_25,1437
MEHEDINTI,2020,sub_25,542
MUNICIPIUL BUCURESTI,2020,sub_25,367
MURES,2020,sub_25,1181
NEAMT,2020,sub_25,1019
OLT,2020,sub_25,1218
PRAHOVA,2020,sub_25,1160
SALAJ,2020,sub_25,961
SATU-MARE,2020,sub_25,672
SIBIU,2020,sub_25,701
SUCEAVA,2020,sub_25,2695
TELEORMAN,2020,sub_25,1064
TIMIS,2020,sub_25,594
TULCEA,2020,sub_25,457
VALCEA,2020,sub_25,1110
VASLUI ,2020,sub_25,674
VRANCEA,2020,sub_25,814
TOTAL,2020,sub_25,39087
ALBA,2024,sub_25,316
ARAD,2024,sub_25,242
ARGES,2024,sub_25,481
BACAU,2024,sub_25,312
BIHOR,2024,sub_25,316
BISTRITA NASAUD,2024,sub_25,374
BOTOSANI,2024,sub_25,361
BRAILA,2024,sub_25,353
BRASOV,2024,sub_25,693
BUZAU,2024,sub_25,330
CALARASI,2024,sub_25,613
CARAS-SEVERIN,2024,sub_25,165
CLUJ,2024,sub_25,412
CONSTANTA,2024,sub_25,243
COVASNA,2024,sub_25,697
DAMBOVITA,2024,sub_25,382
DOLJ,2024,sub_25,1626
GALATI,2024,sub_25,515
GIURGIU,2024,sub_25,239
GORJ,2024,sub_25,380
HARGHITA,2024,sub_25,775
HUNEDOARA,2024,sub_25,729
IALOMITA,2024,sub_25,391
IASI,2024,sub_25,640
ILFOV,2024,sub_25,39
MARAMURES,2024,sub_25,356
MEHEDINTI,2024,sub_25,298
MUNICIPIUL BUCURESTI,2024,sub_25,237
MURES,2024,sub_25,895
NEAMT,2024,sub_25,425
OLT,2024,sub_25,528
PRAHOVA,2024,sub_25,527
SALAJ,2024,sub_25,633
SATU-MARE,2024,sub_25,739
SIBIU,2024,sub_25,517
SUCEAVA,2024,sub_25,1280
TELEORMAN,2024,sub_25,646
TIMIS,2024,sub_25,456
TULCEA,2024,sub_25,134
VALCEA,2024,sub_25,131
VASLUI ,2024,sub_25,277
VRANCEA,2024,sub_25,177
TOTAL,2024,sub_25,19880
ALBA,2019,25_29,263
ARAD,2019,25_29,102
ARGES,2019,25_29,398
BACAU,2019,25_29,583
BIHOR,2019,25_29,161
BISTRITA NASAUD,2019,25_29,167
BOTOSANI,2019,25_29,137
BRAILA,2019,25_29,207
BRASOV,2019,25_29,359
BUZAU,2019,25_29,471
CALARASI,2019,25_29,143
CARAS-SEVERIN,2019,25_29,155
CLUJ,2019,25_29,259
CONSTANTA,2019,25_29,233
COVASNA,2019,25_29,181
DAMBOVITA,2019,25_29,270
DOLJ,2019,25_29,918
GALATI,2019,25_29,350
GIURGIU,2019,25_29,79
GORJ,2019,25_29,162
HARGHITA,2019,25_29,296
HUNEDOARA,2019,25_29,301
IALOMITA,2019,25_29,179
IASI,2019,25_29,205
ILFOV,2019,25_29,35
MARAMURES,2019,25_29,305
MEHEDINTI,2019,25_29,150
MUNICIPIUL BUCURESTI,2019,25_29,1225
MURES,2019,25_29,360
NEAMT,2019,25_29,357
OLT,2019,25_29,331
PRAHOVA,2019,25_29,247
SALAJ,2019,25_29,283
SATU-MARE,2019,25_29,207
SIBIU,2019,25_29,168
SUCEAVA,2019,25_29,667
TELEORMAN,2019,25_29,490
TIMIS,2019,25_29,136
TULCEA,2019,25_29,121
VALCEA,2019,25_29,237
VASLUI ,2019,25_29,306
VRANCEA,2019,25_29,247
TOTAL,2019,25_29,12451
ALBA,2020,25_29,329
ARAD,2020,25_29,226
ARGES,2020,25_29,585
BACAU,2020,25_29,495
BIHOR,2020,25_29,341
